NDC_Code,number_of_prescriptions,drug_name,average_billed_amount,median_billed_amount,average_paid_amount,average_allowed_amount,average_days_supply,average_quantity_dispensed
29238-919-50,1,NORCO,318.54,318.54,193.12,193.12,30.0,28.0
29290-482-97,1,CODEINE SULFATE,990.24,990.24,711.67,711.67,30.0,40.0
29358-712-62,1,ZOSYN,60.08,60.08,36.12,36.12,30.0,42.0
29366-642-18,1,DIFICID,323.52,323.52,228.48,228.48,30.0,28.0
29390-169-69,1,ZITHROMAX,234.58,234.58,168.34,168.34,30.0,35.0
29403-772-55,2,LEVOFLOXACIN-D5W,494.72,494.72,453.11,453.11,60.0,79.0
29406-183-35,1,ZIPRASIDONE MESYLATE,354.28,354.28,231.35,231.35,30.0,25.0
29411-478-84,1,XODOL 10-300,241.25,241.25,152.59,152.59,60.0,55.0
29421-408-81,1,VANCOMYCIN HCL,688.99,688.99,458.75,458.75,30.0,28.0
29462-540-85,1,LURASIDONE HCL,985.73,985.73,780.34,780.34,30.0,43.0
29555-646-15,1,ERY-TAB,1284.29,1284.29,1023.58,1023.58,60.0,87.0
29626-158-44,1,AVELOX IV,909.49,909.49,759.16,759.16,60.0,76.0
29639-418-32,1,COBENFY,1385.28,1385.28,1265.21,1265.21,60.0,76.0
29665-260-47,1,ARIPIPRAZOLE ODT,1177.85,1177.85,863.18,863.18,90.0,84.0
29670-371-45,1,TREZIX,494.67,494.67,423.5,423.5,30.0,45.0
29680-849-40,1,OPANA ER,426.08,426.08,1022.54,278.92,30.0,35.0
29694-735-14,1,CEFAZOLIN SODIUM,19.67,19.67,18.12,18.12,30.0,31.0
29696-598-16,1,HYDROMORPHONE ER,407.16,407.16,261.84,261.84,30.0,34.0
29714-902-90,1,CEFEPIME,196.71,196.71,138.08,138.08,30.0,37.0
29722-798-77,1,PENICILLIN G POTASSIUM,161.07,161.07,118.75,118.75,30.0,43.0
29743-777-93,1,SYNERCID,360.03,360.03,334.22,334.22,60.0,55.0
29780-378-80,1,SEGLENTIS,401.51,401.51,357.31,357.31,30.0,25.0
29790-879-82,1,GEODON,532.63,532.63,440.1,440.1,30.0,36.0
29823-166-61,1,CEFOTAN,474.54,474.54,338.44,338.44,30.0,32.0
29840-311-10,1,CLINDAMYCIN HCL,823.94,823.94,545.38,545.38,30.0,35.0
29880-433-14,1,OLANZAPINE ODT,1226.66,1226.66,1126.67,1126.67,90.0,95.0
29892-660-37,1,RISPERDAL,360.86,360.86,341.24,341.24,30.0,42.0
29909-284-58,1,KETEK,130.41,130.41,100.05,100.05,60.0,48.0
29916-227-63,1,MINOCYCLINE HCL,1016.23,1016.23,953.34,953.34,30.0,43.0
29952-627-69,1,BIAXIN,412.29,412.29,378.44,378.44,30.0,37.0
29987-364-88,1,XODOL 7.5-300,954.52,954.52,848.39,848.39,30.0,42.0
30011-275-53,1,ROCEPHIN,785.22,785.22,595.8,595.8,60.0,78.0
30066-231-50,1,ASENAPINE MALEATE,412.72,412.72,349.0,349.0,30.0,36.0
30069-707-11,1,CEFEPIME-DEXTROSE,110.13,110.13,87.89,87.89,60.0,81.0
30114-177-45,1,PIPERACILLIN-TAZOBACTAM,1091.61,1091.61,934.24,934.24,60.0,59.0
30115-446-66,1,TREZIX,378.1,378.1,244.53,244.53,30.0,32.0
30150-639-64,1,CEFEPIME,269.13,269.13,208.29,208.29,30.0,40.0
30175-107-50,1,BUPRENORPHINE HCL,482.41,482.41,419.45,419.45,30.0,32.0
30188-714-62,1,DAXBIA,59.24,59.24,36.4,36.4,90.0,128.0
30238-355-69,1,VIBRAMYCIN,712.42,712.42,506.43,506.43,30.0,36.0
30287-430-26,1,TREZIX,806.58,806.58,1104.79,585.59,30.0,42.0
30288-778-89,1,ENDOCET,462.44,462.44,327.54,327.54,30.0,37.0
30353-871-68,1,SUPRAX,567.6,567.6,473.8,473.8,30.0,40.0
30373-373-92,1,MORPHABOND ER,1257.09,1257.09,1121.7,1121.7,60.0,60.0
30390-178-74,1,SYNALGOS-DC,391.98,391.98,337.91,337.91,60.0,72.0
30468-591-81,1,SYNALGOS-DC,526.95,526.95,489.56,489.56,30.0,25.0
30475-632-87,1,CEFUROXIME SODIUM,92.83,92.83,84.41,84.41,30.0,31.0
30520-812-88,1,MORGIDOX,76.09,76.09,70.91,70.91,30.0,29.0
30521-649-62,1,LEVAQUIN,354.25,354.25,251.57,251.57,30.0,28.0
30532-696-54,1,FIRVANQ,74.79,74.79,57.02,57.02,60.0,54.0
30540-190-27,1,SULFATRIM,611.52,611.52,542.04,542.04,30.0,36.0
30588-576-93,1,FIORICET WITH CODEINE,871.61,871.61,691.29,691.29,60.0,52.0
30604-966-56,1,INVEGA SUSTENNA,711.92,711.92,498.32,498.32,30.0,35.0
30634-348-96,1,DORYX,1868.94,1868.94,1680.16,1680.16,90.0,112.0
30634-955-29,1,PENTAZOCINE-ACETAMINOPHEN,587.67,587.67,420.42,420.42,30.0,31.0
30655-164-28,1,MACROBID,1524.47,1524.47,1109.6,1109.6,90.0,111.0
30688-667-28,1,SYMBYAX,131.64,131.64,100.25,100.25,30.0,32.0
30706-667-96,1,CEFEPIME,1802.67,1802.67,1647.04,1647.04,90.0,113.0
30719-749-32,1,CEFUROXIME SODIUM,434.06,434.06,409.83,409.83,30.0,42.0
30727-616-69,1,VANCOMYCIN HCL,637.35,637.35,398.31,398.31,30.0,31.0
30733-542-84,1,FAZACLO,413.18,413.18,282.01,282.01,30.0,31.0
30758-639-72,1,FORTAZ,675.73,675.73,547.82,547.82,30.0,43.0
30835-629-97,1,GENTAMICIN SULFATE,297.02,297.02,265.75,265.75,30.0,29.0
30851-126-24,1,TOBRAMYCIN SULFATE,138.74,138.74,87.38,87.38,30.0,26.0
30910-504-11,1,RISPERDAL,188.25,188.25,163.45,163.45,30.0,45.0
30924-476-26,2,AMPICILLIN TRIHYDRATE,322.49,322.49,243.46,243.46,30.0,25.0
30928-815-28,1,HALOPERIDOL,742.78,742.78,510.41,510.41,60.0,74.0
30944-330-90,1,LEVAQUIN,1390.35,1390.35,1213.5,1213.5,60.0,79.0
30975-401-25,1,PRIMAXIN,2133.03,2133.03,1667.27,1667.27,90.0,117.0
31007-792-31,1,EMBEDA,227.53,227.53,160.58,160.58,30.0,41.0
31031-862-36,1,VANCOMYCIN HCL,1254.81,1254.81,957.63,957.63,90.0,123.0
31088-507-98,1,CARISOPRODOL-ASPIRIN-CODEINE,852.26,852.26,551.16,551.16,60.0,85.0
31121-605-62,1,ASA-BUTALB-CAFFEINE-CODEINE,2337.28,2337.28,1820.22,1820.22,90.0,94.0
31147-630-87,1,CO-GESIC,1301.08,1301.08,1056.11,1056.11,60.0,62.0
31202-460-49,1,XIFAXAN,1616.62,1616.62,1319.86,1319.86,60.0,82.0
31223-121-64,1,ERYTHROCIN LACTOBIONATE,219.54,219.54,137.32,137.32,30.0,27.0
31225-289-10,1,FENTORA,909.82,909.82,778.83,778.83,30.0,40.0
31270-242-92,1,HYDROCODONE BIT-IBUPROFEN,292.38,292.38,276.77,276.77,30.0,32.0
31276-372-36,1,SOLODYN,644.43,644.43,527.18,527.18,30.0,43.0
31320-629-33,1,SULFATRIM,1081.12,1081.12,717.57,717.57,60.0,77.0
31334-740-23,1,NEOMYCIN SULFATE,780.74,780.74,646.71,646.71,60.0,55.0
31382-419-92,1,TRIFLUOPERAZINE HCL,1560.19,1560.19,1443.19,1443.19,60.0,66.0
31400-727-20,1,CEFTRIAXONE,319.87,319.87,221.87,221.87,30.0,30.0
31406-739-16,1,LYBALVI,342.75,342.75,212.96,212.96,30.0,28.0
31424-733-26,1,ZYVOX,559.2,559.2,430.78,430.78,30.0,34.0
31545-847-89,1,BICILLIN L-A,186.45,186.45,167.08,167.08,60.0,82.0
31612-226-40,1,UZEDY,818.69,818.69,591.41,591.41,90.0,97.0
31618-761-26,1,CIPRO I.V.,1832.87,1832.87,1729.21,1729.21,90.0,116.0
31626-681-75,1,VICOPROFEN,729.31,729.31,474.16,474.16,30.0,39.0
31656-165-73,1,PCE,67.62,67.62,59.84,59.84,30.0,29.0
31716-150-79,2,CEFEPIME,349.6,349.6,312.64,312.64,90.0,87.0
31745-128-25,1,BAXDELA,329.78,329.78,238.35,238.35,30.0,27.0
31766-295-18,1,CLOZAPINE ODT,1473.16,1473.16,1059.5,1059.5,60.0,77.0
31778-127-85,1,ULTRAM ER,478.5,478.5,444.11,444.11,30.0,35.0
31784-547-94,1,ARISTADA,658.49,658.49,493.41,493.41,90.0,129.0
31805-166-35,1,ARIKAYCE,234.51,234.51,158.82,158.82,60.0,89.0
31843-945-16,1,MOXIFLOXACIN HCL,100.67,100.67,84.27,84.27,30.0,44.0
31848-500-81,1,PERPHENAZINE-AMITRIPTYLINE,1220.35,1220.35,1079.06,1079.06,60.0,55.0
31848-711-65,1,PERCOCET,606.18,606.18,567.75,567.75,30.0,32.0
31851-719-58,1,HYDROMORPHONE HCL,300.12,300.12,186.0,186.0,60.0,59.0
31854-529-11,1,LEVORPHANOL TARTRATE,544.42,544.42,466.41,466.41,30.0,36.0
31871-867-41,1,CEFPODOXIME PROXETIL,548.54,548.54,336.25,336.25,30.0,28.0
31878-395-79,1,MORPHINE SULFATE ER,331.6,331.6,215.0,215.0,60.0,67.0
31892-352-11,1,OXAYDO,713.33,713.33,672.39,672.39,60.0,71.0
31899-479-25,1,MEROPENEM-0.9% NACL,500.27,500.27,369.88,369.88,30.0,41.0
31950-985-85,1,AMPICILLIN SODIUM,37.11,37.11,34.93,34.93,30.0,40.0
31954-899-10,1,TRAMADOL HCL,483.7,483.7,342.74,342.74,30.0,29.0
31989-428-55,1,FLAGYL ER,306.4,306.4,266.97,266.97,60.0,68.0
31993-125-43,1,CEFUROXIME,237.79,237.79,183.44,183.44,90.0,125.0
32007-902-80,1,PRIMAXIN,476.31,476.31,340.97,340.97,90.0,128.0
32017-270-14,1,LINEZOLID-0.9% NACL,470.18,470.18,401.03,401.03,30.0,45.0
32036-720-41,1,DOXYCYCLINE HYCLATE,1465.18,1465.18,1093.83,1093.83,90.0,121.0
32063-756-70,1,MORPHABOND ER,591.97,591.97,377.89,377.89,30.0,24.0
32086-756-76,1,CLEOCIN PALMITATE,97.1,97.1,66.3,66.3,30.0,31.0
32087-920-85,1,IBUDONE,131.72,131.72,112.65,112.65,60.0,50.0
32092-259-83,1,VERSACLOZ,2886.57,2886.57,2253.52,2253.52,90.0,129.0
32095-633-61,1,LORCET PLUS,108.57,108.57,77.91,77.91,30.0,37.0
32128-107-61,1,LORCET,1076.3,1076.3,874.17,874.17,30.0,45.0
32140-741-41,1,CLARITHROMYCIN ER,1198.1,1198.1,1093.33,1093.33,60.0,86.0
32212-153-56,1,RISPERIDONE ODT,669.29,669.29,442.6,442.6,30.0,41.0
32212-244-17,1,SEROQUEL XR,288.32,288.32,201.38,201.38,30.0,41.0
32231-888-10,1,CIPROFLOXACIN,66.78,66.78,57.15,57.15,30.0,35.0
32280-742-35,1,CIPROFLOXACIN-D5W,1737.37,1737.37,1196.24,1196.24,90.0,73.0
32376-625-52,1,CEFDITOREN PIVOXIL,559.08,559.08,447.29,447.29,60.0,58.0
32382-330-53,1,CIPROFLOXACIN-D5W,88.28,88.28,80.95,80.95,60.0,86.0
32382-376-77,1,CEFUROXIME SODIUM,446.62,446.62,404.14,404.14,30.0,33.0
32396-748-15,1,NUCYNTA ER,25.97,25.97,23.94,23.94,60.0,62.0
32420-360-10,1,MORGIDOX,473.2,473.2,426.83,426.83,30.0,30.0
32427-773-52,1,CHLORPROMAZINE HCL,346.07,346.07,223.02,223.02,30.0,41.0
32481-800-98,1,TOBRAMYCIN SULFATE IN NS,32.78,32.78,20.78,20.78,30.0,35.0
32512-476-47,1,MOXIFLOXACIN,439.32,439.32,300.97,300.97,30.0,42.0
32538-537-95,1,INVEGA,551.39,551.39,422.95,422.95,30.0,25.0
32702-594-42,1,CIPROFLOXACIN ER,529.53,529.53,468.11,468.11,30.0,25.0
32756-786-91,1,UZEDY,554.58,554.58,468.61,468.61,90.0,128.0
32763-718-25,1,SOLODYN,1911.56,1911.56,1508.85,1508.85,90.0,85.0
32818-612-47,1,OLANZAPINE-FLUOXETINE HCL,930.05,930.05,690.06,690.06,30.0,41.0
32896-971-61,1,MACRODANTIN,244.1,244.1,170.72,170.72,30.0,35.0
32921-592-69,1,PENICILLIN G POTASSIUM,362.13,362.13,301.55,301.55,30.0,34.0
32933-771-49,1,HALOPERIDOL LACTATE,533.75,533.75,376.6,376.6,30.0,38.0
32944-363-41,1,FOSFOMYCIN TROMETHAMINE,42.42,42.42,26.35,26.35,30.0,41.0
32979-812-37,1,BUTALB-CAFF-ACETAMINOPH-CODEIN,298.65,298.65,251.26,251.26,30.0,26.0
32983-614-91,1,ZMAX,743.95,743.95,516.54,516.54,30.0,32.0
33032-340-43,1,INVEGA SUSTENNA,1165.58,1165.58,729.21,-729.21,60.0,57.0
33035-570-80,1,QUETIAPINE FUMARATE,1138.92,1138.92,761.07,761.07,60.0,51.0
33044-724-89,1,CLOZAPINE,260.01,260.01,208.79,208.79,30.0,28.0
33097-960-11,1,TREZIX,675.06,675.06,545.05,545.05,30.0,42.0
33101-941-24,1,ZYVOX,356.0,356.0,326.32,326.32,30.0,25.0
33111-554-16,1,BICILLIN L-A,243.5,243.5,211.48,211.48,60.0,55.0
33116-986-22,1,XODOL 10-300,723.66,723.66,589.74,589.74,30.0,34.0
33127-471-27,1,SULFAMETHOXAZOLE-TRIMETHOPRIM,524.77,524.77,497.76,497.76,30.0,26.0
33140-915-63,1,DAPTOMYCIN-0.9% NACL,388.52,388.52,320.6,320.6,60.0,68.0
33142-491-14,1,KETEK,388.24,388.24,340.66,340.66,30.0,33.0
33148-779-49,1,TOPIRAMATE,679.7,679.7,604.69,604.69,30.0,30.0
33182-328-41,1,RISPERIDONE ER,590.77,590.77,491.93,491.93,30.0,35.0
33215-554-29,1,TIGECYCLINE,656.41,656.41,579.37,579.37,30.0,40.0
33221-327-11,1,CODEINE SULFATE,1900.47,1900.47,1589.81,1589.81,90.0,84.0
33231-192-12,1,CIPROFLOXACIN-D5W,243.59,243.59,196.25,196.25,30.0,31.0
33234-225-83,1,VANCOMYCIN-D5W,500.6,500.6,412.7,412.7,30.0,27.0
33332-429-20,1,XTAMPZA ER,665.45,665.45,628.56,628.56,60.0,60.0
33340-627-28,1,SYNERCID,474.56,474.56,433.96,433.96,30.0,29.0
33410-531-72,1,ZYDONE,1703.13,1703.13,1544.26,1544.26,90.0,101.0
33446-879-60,1,CEFUROXIME,983.24,983.24,733.4,733.4,30.0,45.0
33477-347-39,1,CEFDINIR,609.73,609.73,432.98,432.98,30.0,32.0
33504-911-63,1,RISPERIDONE ER,586.91,586.91,546.03,546.03,60.0,67.0
33515-623-86,1,LEVORPHANOL TARTRATE,224.94,224.94,205.4,205.4,30.0,27.0
33519-521-95,1,RISPERDAL M-TAB,164.03,164.03,122.38,122.38,30.0,44.0
33528-681-21,1,CEFADROXIL,567.63,567.63,388.16,388.16,60.0,72.0
33563-512-90,1,CEFOTAN,1356.11,1356.11,981.94,981.94,60.0,87.0
33572-836-92,1,TRIMETHOPRIM,676.38,676.38,426.42,426.42,30.0,33.0
33575-718-48,1,CIPROFLOXACIN-D5W,339.01,339.01,262.99,262.99,30.0,29.0
33712-897-13,1,VICODIN ES,2565.35,2565.35,1577.2,1577.2,90.0,120.0
33737-179-29,1,CEFACLOR ER,236.73,236.73,168.31,168.31,30.0,27.0
33864-198-59,1,CEFOTAXIME SODIUM,366.16,366.16,253.43,253.43,30.0,33.0
33868-982-46,1,LORCET 10-650,454.72,454.72,279.93,279.93,30.0,35.0
33891-547-67,1,MINOCIN,340.47,340.47,207.77,207.77,30.0,27.0
33905-188-62,1,VIBRAMYCIN,93.56,93.56,62.64,62.64,30.0,26.0
33965-689-67,1,TRAMADOL HCL-ACETAMINOPHEN,625.78,625.78,582.03,582.03,30.0,38.0
33972-381-15,1,AZTREONAM,923.99,923.99,691.15,691.15,30.0,40.0
34000-345-69,1,XARTEMIS XR,118.7,118.7,87.03,87.03,30.0,44.0
34009-806-72,1,PIMOZIDE,218.95,218.95,156.77,156.77,30.0,40.0
34131-505-77,1,PERPHENAZINE-AMITRIPTYLINE,233.47,233.47,174.89,174.89,60.0,74.0
34192-829-58,1,TREZIX,71.63,71.63,66.26,66.26,30.0,42.0
34229-202-14,1,MAXIDONE,523.56,523.56,459.7,459.7,30.0,28.0
34263-208-30,1,DAPTOMYCIN,891.18,891.18,653.39,653.39,30.0,37.0
34361-873-71,1,OXYCODONE HCL,46.62,46.62,35.78,35.78,30.0,39.0
34383-427-44,1,MOXATAG,395.1,395.1,881.61,356.95,30.0,32.0
34452-423-11,1,STREPTOMYCIN SULFATE,75.72,75.72,54.05,54.05,30.0,25.0
34507-372-14,1,SULFAMETHOXAZOLE-TRIMETHOPRIM,630.54,630.54,491.78,491.78,30.0,27.0
34510-149-73,1,ZIPRASIDONE MESYLATE,76.89,76.89,52.81,52.81,30.0,43.0
34529-688-63,2,ASA-BUTALB-CAFFEINE-CODEINE,1519.28,1519.28,1083.17,1083.17,90.0,133.0
34536-742-20,1,AUGMENTIN,442.73,442.73,385.9,385.9,30.0,34.0
34632-192-52,2,TOBRAMYCIN SULFATE,768.66,768.66,531.88,531.88,30.0,36.0
34667-455-42,1,ACETAMIN-CAFF-DIHYDROCODEINE,80.72,80.72,52.25,52.25,60.0,68.0
34675-833-53,1,ACETAMIN-CAFF-DIHYDROCODEINE,627.73,627.73,397.86,397.86,60.0,49.0
34685-499-45,1,OKEBO,827.37,827.37,551.67,551.67,90.0,109.0
34744-271-73,1,AVELOX IV,1270.49,1270.49,1005.94,1005.94,60.0,52.0
34752-164-53,1,ERYPED 400,287.41,287.41,234.75,234.75,30.0,42.0
34911-923-97,1,ARYMO ER,21366.7852583109,21366.7852583109,255.59,255.59,30.0,29.0
34986-692-57,1,SYNERCID,789.74,789.74,697.96,697.96,30.0,36.0
35036-895-69,1,TRIMETHOPRIM,328.99,328.99,267.74,267.74,60.0,71.0
35037-294-88,2,CAPITAL W-CODEINE,1426.54,1426.54,1270.67,1270.67,90.0,135.0
35047-450-93,1,CLAFORAN,682.66,682.66,606.26,606.26,60.0,76.0
35185-843-40,1,CARISOPRODOL COMPOUND-CODEINE,569.48,569.48,380.39,380.39,30.0,34.0
35192-261-56,1,XARTEMIS XR,156.95,156.95,106.25,106.25,30.0,33.0
35194-730-73,1,NORCO,272.02,272.02,219.53,219.53,30.0,39.0
35214-488-32,1,MINOLIRA ER,925.26,925.26,857.31,857.31,60.0,75.0
35248-630-47,1,THIORIDAZINE HCL,2223.12,2223.12,2067.9,2067.9,90.0,94.0
35263-763-10,1,ZITHROMAX TRI-PAK,209.33,209.33,197.01,197.01,30.0,40.0
35283-953-20,1,TOBRAMYCIN,413.38,413.38,378.48,378.48,30.0,30.0
35293-512-27,1,NALOCET,68.4,68.4,60.4,60.4,30.0,37.0
35331-496-75,1,VICOPROFEN,280.84,280.84,253.33,253.33,90.0,80.0
35345-638-19,1,CAPITAL W-CODEINE,795.45,795.45,750.2,750.2,90.0,99.0
35478-955-66,1,HALDOL DECANOATE 100,745.69,745.69,665.45,665.45,30.0,36.0
35486-794-51,1,CEFOTAN,17.87,17.87,13.41,13.41,30.0,28.0
35567-596-71,1,RISPERDAL M-TAB,83.36,83.36,66.88,66.88,30.0,36.0
35621-686-95,1,ABSTRAL,149.76,149.76,118.92,118.92,30.0,31.0
35622-595-37,1,MEPERITAB,1229.67,1229.67,846.39,-846.39,60.0,76.0
35628-245-94,1,E.E.S. 400,1469.49,1469.49,1002.94,1002.94,90.0,92.0
35636-487-71,1,CEFAZOLIN SODIUM,2684.41,2684.41,1835.11,1835.11,90.0,133.0
35640-135-67,1,GEODON,599.3,599.3,495.15,495.15,60.0,52.0
35680-774-20,1,TRIMETHOPRIM,-1282.1,-1282.1,1172.58,1172.58,90.0,106.0
35693-378-98,1,FORTAZ IN ISO-OSMOTIC DEXTROSE,1567.51,1567.51,1373.27,1373.27,60.0,83.0
35704-842-68,1,OXACILLIN SODIUM,1702.06,1702.06,1316.46,1316.46,60.0,75.0
35724-353-14,1,AUGMENTIN,1009.0,1009.0,887.08,887.08,60.0,74.0
35783-504-96,1,AEMCOLO,2095.46,2095.46,1319.24,1319.24,90.0,106.0
35784-118-27,1,SEGLENTIS,905.25,905.25,611.02,611.02,30.0,39.0
35851-552-96,1,ADOXA,198.01,198.01,131.07,131.07,30.0,39.0
35875-842-53,1,TAZICEF,61.44,61.44,54.16,54.16,30.0,31.0
35961-719-28,1,TOPIRAMATE,946.3,946.3,849.76,849.76,30.0,39.0
35967-622-10,1,CARISOPRODOL COMPOUND-CODEINE,1558.2,1558.2,959.79,959.79,60.0,86.0
35967-692-65,1,E.E.S. 400,120.73,120.73,86.35,86.35,30.0,24.0
35970-622-32,1,CAYSTON,276.13,276.13,172.21,172.21,30.0,29.0
36011-622-34,1,ZOSYN,749.07,749.07,688.81,688.81,60.0,60.0
36047-318-27,1,HALDOL,1928.51,1928.51,1329.76,1329.76,60.0,90.0
36082-307-21,1,TYLENOL-CODEINE NO.4,189.36,189.36,164.8,164.8,30.0,41.0
36088-126-66,1,CLINDAMYCIN HCL,520.23,520.23,379.13,379.13,30.0,37.0
36113-438-80,1,AVELOX ABC PACK,13.73,13.73,11.9,11.9,30.0,31.0
36125-844-34,1,HYSINGLA ER,212.43,212.43,150.69,150.69,30.0,44.0
36196-456-68,1,VANCOMYCIN HCL-D5W,730.66,730.66,440.7,440.7,30.0,34.0
36263-309-16,1,CLEOCIN PHOSPHATE IN D5W,55.74,55.74,44.75,44.75,90.0,83.0
36275-158-78,1,QUETIAPINE FUMARATE ER,71.8,71.8,67.22,67.22,30.0,24.0
36284-548-83,1,MEROPENEM-0.9% NACL,1628.97,1628.97,1142.53,1142.53,90.0,83.0
36331-190-59,1,OFLOXACIN,261.22,261.22,216.86,216.86,30.0,37.0
36332-912-62,1,METRO IV,442.25,442.25,869.08,306.9,60.0,54.0
36368-418-20,1,CAPITAL W-CODEINE,1119.72,1119.72,956.04,956.04,90.0,115.0
36428-955-48,1,VANCOMYCIN HCL,28.17,28.17,18.41,18.41,30.0,44.0
36456-435-69,1,BAXDELA,516.62,516.62,340.94,340.94,30.0,38.0
36528-260-30,1,COBENFY,830.3,830.3,584.18,584.18,30.0,43.0
36543-333-84,1,E.E.S. 200,163.22,163.22,123.28,123.28,60.0,64.0
36589-288-24,1,GEODON,2152.37,2152.37,1721.62,1721.62,90.0,94.0
36595-514-53,1,ROXICET,56.24,56.24,48.93,48.93,30.0,35.0
36620-376-11,1,XIMINO,591.73,591.73,434.21,434.21,30.0,33.0
36746-118-63,1,LEVOFLOXACIN,850.84,850.84,668.46,668.46,60.0,60.0
36757-916-18,1,ZYPREXA ZYDIS,1389.54,1389.54,2674.24,1303.83,60.0,58.0
36766-400-51,1,CEFTIBUTEN,717.1,717.1,531.3,531.3,30.0,43.0
36933-546-77,1,DOXYCYCLINE MONOHYDRATE,202.01,202.01,125.25,125.25,30.0,44.0
36968-698-12,1,TRIFLUOPERAZINE HCL,247.99,247.99,208.58,208.58,30.0,32.0
36974-998-80,1,GEODON,2789.83,2789.83,1906.26,1906.26,90.0,124.0
37044-142-21,1,ERTAPENEM,845.61,845.61,760.32,760.32,30.0,35.0
37073-464-81,1,CARISOPRODOL COMPOUND-CODEINE,100.53,100.53,61.84,61.84,30.0,42.0
37080-911-24,1,ROXICET,1769.41,1769.41,1182.15,1182.15,60.0,89.0
37110-870-85,1,TAZICEF,652.53,652.53,468.75,468.75,30.0,36.0
37113-418-41,1,SAPHRIS,3010.2,3010.2,2545.53,2545.53,90.0,126.0
37167-214-55,1,CUBICIN RF,47.71,47.71,34.63,34.63,30.0,25.0
37170-846-13,1,VANCOMYCIN,17.23,17.23,11.13,11.13,30.0,42.0
37213-721-39,1,XARTEMIS XR,157.08,157.08,118.53,118.53,60.0,72.0
37262-603-79,1,CEFAZOLIN,2140.07,2140.07,1721.04,1721.04,90.0,110.0
37332-288-32,1,HYDROMORPHONE ER,111.77,111.77,69.55,69.55,30.0,29.0
37476-107-32,1,SYNALGOS-DC,752.13,752.13,634.47,634.47,30.0,33.0
37502-554-71,1,AMPICILLIN TRIHYDRATE,588.65,588.65,439.31,439.31,30.0,38.0
37568-701-59,1,NORCO,677.73,677.73,467.67,467.67,60.0,81.0
37594-284-23,1,DOLOPHINE HCL,871.21,871.21,757.03,757.03,60.0,81.0
37682-798-60,1,UZEDY,628.76,628.76,487.06,487.06,30.0,38.0
37711-224-24,1,HYSINGLA ER,1414.24,1414.24,1172.62,1172.62,90.0,117.0
37722-522-31,1,CEPHALEXIN,423.79,423.79,278.18,278.18,60.0,57.0
37766-308-46,1,RISPERDAL,657.77,657.77,503.26,503.26,60.0,50.0
37796-187-33,1,TYLENOL-CODEINE NO.3,272.83,272.83,189.91,189.91,30.0,33.0
37818-941-25,1,OXYCODONE HCL,271.68,271.68,234.72,234.72,30.0,38.0
37939-830-16,1,HYDROMORPHONE HCL,876.72,876.72,546.86,546.86,60.0,75.0
37946-517-85,1,AZACTAM-ISO-OSMOTIC DEXTROSE,719.51,719.51,656.12,656.12,30.0,31.0
38047-354-76,1,BIAXIN XL,293.24,293.24,240.69,240.69,90.0,100.0
38153-776-78,1,DEMECLOCYCLINE HCL,473.11,473.11,387.62,387.62,30.0,31.0
38156-795-88,1,CUBICIN RF,396.85,396.85,294.54,294.54,30.0,32.0
38216-651-58,1,AZTREONAM,482.56,482.56,341.22,341.22,30.0,41.0
38241-403-15,1,OXAYDO,854.35,854.35,522.47,522.47,30.0,38.0
38253-377-53,1,HYSINGLA ER,49.83,49.83,42.37,42.37,30.0,32.0
38296-610-13,1,PFIZERPEN,2155.52,2155.52,1680.73,1680.73,90.0,125.0
38351-527-68,1,HALOPERIDOL,1745.41,1745.41,1216.33,1216.33,90.0,131.0
38357-774-13,1,MACROBID,1359.21,1359.21,1028.01,1028.01,60.0,59.0
38377-782-39,1,HYDROMORPHONE HCL,72.54,72.54,46.52,46.52,30.0,28.0
38385-331-73,1,PENICILLIN G POTASSIUM,1121.39,1121.39,835.69,835.69,60.0,87.0
38396-541-37,1,OKEBO,1840.72,1840.72,1223.3,1223.3,60.0,82.0
38455-444-85,1,HALOPERIDOL DECANOATE,291.72,291.72,227.55,227.55,30.0,28.0
38501-817-27,1,ABILIFY MAINTENA,234.94,234.94,148.42,148.42,60.0,59.0
38545-591-47,1,COBENFY,451.53,451.53,361.52,361.52,30.0,43.0
38673-780-13,1,OXYCODONE HCL-ACETAMINOPHEN,635.54,635.54,456.18,456.18,30.0,34.0
38692-243-59,1,AUGMENTIN XR,670.06,670.06,596.9,596.9,30.0,34.0
38692-725-11,1,PRIMLEV,2257.0,2257.0,1856.14,1856.14,90.0,104.0
38696-804-20,1,ZITHROMAX TRI-PAK,82.77,82.77,63.28,63.28,30.0,30.0
38697-296-26,1,DOXY 100,1645.16,1645.16,1527.37,1527.37,90.0,131.0
38727-791-81,1,BELBUCA,958.99,958.99,813.47,813.47,60.0,60.0
38766-615-14,1,SYNERCID,693.82,693.82,648.48,648.48,30.0,38.0
38774-618-90,1,XODOL 10-300,737.11,737.11,481.5,481.5,60.0,51.0
38966-780-79,1,ARIKAYCE,306.5,306.5,219.89,219.89,30.0,34.0
38992-408-95,1,OXYCODONE CONCENTRATE,435.98,435.98,262.91,262.91,30.0,32.0
39017-971-97,1,LOXITANE,539.05,539.05,488.59,488.59,60.0,69.0
39024-540-92,1,LORCET PLUS,832.29,832.29,639.22,639.22,30.0,41.0
39210-425-24,1,CEFIXIME,769.53,769.53,613.61,613.61,30.0,43.0
